Date/Time,Temp_C,Dew Point Temp_C,Rel Hum_%,Wind Speed_km/h,Visibility_km,Press_kPa,Weather, Q10,,Wind Speed_km/h,Occurance,Q14,,Weather,Countif,Q15,,Wind Speed_km/h,Countif,,Visibility_km,Mean_VisibilityKM,,Press_kPa,,Rel Hum_%,
01-01-2012 00:00,-1.8,-3.9,86,4,8,101.24,Fog,0,308,4,474,1,3033,Clear,1326,0,2015,4,474,,8,27.7,,101.24,0.844004746,86,286.2485502
01-01-2012 01:00,-1.8,-3.7,87,4,8,101.24,Fog,0,,7,677,0,,Fog,150,1,,,,,8,,,101.24,,87,
01-01-2012 02:00,-1.8,-3.4,89,7,4,101.26,"Freezing Drizzle,Fog",0,,6,609,0,,Weather,Countif,0,,,,,4,,,101.26,,89,
01-01-2012 03:00,-1.5,-3.2,88,6,4,101.27,"Freezing Drizzle,Fog",0,,9,830,0,,Snow,390,0,,,,,4,,,101.27,,88,
01-01-2012 04:00,-1.5,-3.3,88,7,4.8,101.23,Fog,0,,15,719,0,,,,0,,,,,4.8,,,101.23,,88,
01-01-2012 05:00,-1.4,-3.3,87,9,6.4,101.27,Fog,0,,13,735,0,,,,0,,,,,6.4,,,101.27,,87,
01-01-2012 06:00,-1.5,-3.1,89,7,6.4,101.29,Fog,0,,20,496,0,,,,0,,,,,6.4,,,101.29,,89,
01-01-2012 07:00,-1.4,-3.6,85,7,8,101.26,Fog,0,,22,439,0,,,,0,,,,,8,,,101.26,,85,
01-01-2012 08:00,-1.4,-3.6,85,9,8,101.23,Fog,0,,19,616,0,,,,0,,,,,8,,,101.23,,85,
01-01-2012 09:00,-1.3,-3.1,88,15,4,101.2,Fog,0,,24,374,0,,,,0,,,,,4,,,101.2,,88,
01-01-2012 10:00,-1,-2.3,91,9,1.2,101.15,Fog,0,,30,161,0,,,,0,,,,,1.2,,,101.15,,91,
01-01-2012 11:00,-0.5,-2.1,89,7,4,100.98,Fog,0,,35,53,0,,,,0,,,,,4,,,100.98,,89,
01-01-2012 12:00,-0.2,-2,88,9,4.8,100.79,Fog,0,,39,24,0,,,,0,,,,,4.8,,,100.79,,88,
01-01-2012 13:00,0.2,-1.7,87,13,4.8,100.58,Fog,0,,32,139,0,,,,0,,,,,4.8,,,100.58,,87,
01-01-2012 14:00,0.8,-1.1,87,20,4.8,100.31,Fog,0,,33,85,0,,,,0,,,,,4.8,,,100.31,,87,
01-01-2012 15:00,1.8,-0.4,85,22,6.4,100.07,Fog,0,,26,242,0,,,,0,,,,,6.4,,,100.07,,85,
01-01-2012 16:00,2.6,-0.2,82,13,12.9,99.93,Mostly Cloudy,0,,44,14,0,,,,0,,,,,12.9,,,99.93,,82,
01-01-2012 17:00,3,0,81,13,16.1,99.81,Cloudy,0,,43,13,0,,,,0,,,,,16.1,,,99.81,,81,
01-01-2012 18:00,3.8,1,82,15,12.9,99.74,Rain,0,,48,13,0,,,,0,,,,,12.9,,,99.74,,82,
01-01-2012 19:00,3.1,1.3,88,15,12.9,99.68,Rain,0,,37,45,0,,,,0,,,,,12.9,,,99.68,,88,
01-01-2012 20:00,3.2,1.3,87,19,25,99.5,Cloudy,0,,28,205,0,,,,0,,,,,25,,,99.5,,87,
01-01-2012 21:00,4,1.7,85,20,25,99.39,Cloudy,0,,17,666,0,,,,0,,,,,25,,,99.39,,85,
01-01-2012 22:00,4.4,1.9,84,24,19.3,99.32,Rain Showers,0,,11,791,0,,,,0,,,,,19.3,,,99.32,,84,
01-01-2012 23:00,5.3,2,79,30,25,99.31,Cloudy,1,,0,309,0,,,,0,,,,,25,,,99.31,,79,
01-02-2012 00:00,5.2,1.5,77,35,25,99.26,Rain Showers,1,,83,1,0,,,,0,,,,,25,,,99.26,,77,
01-02-2012 01:00,4.6,0,72,39,25,99.26,Cloudy,1,,70,1,0,,,,0,,,,,25,,,99.26,,72,
01-02-2012 02:00,3.9,-0.9,71,32,25,99.26,Mostly Cloudy,1,,57,5,0,,,,0,,,,,25,,,99.26,,71,
01-02-2012 03:00,3.7,-1.5,69,33,25,99.3,Mostly Cloudy,1,,46,11,0,,,,0,,,,,25,,,99.3,,69,
01-02-2012 04:00,2.9,-2.3,69,32,25,99.26,Mostly Cloudy,1,,41,22,0,,,,0,,,,,25,,,99.26,,69,
01-02-2012 05:00,2.6,-2.3,70,32,25,99.21,Mostly Cloudy,1,,52,7,0,,,,0,,,,,25,,,99.21,,70,
01-02-2012 06:00,2.3,-2.6,70,26,25,99.18,Mostly Cloudy,1,,50,4,0,,,,0,,,,,25,,,99.18,,70,
01-02-2012 07:00,2,-2.9,70,33,25,99.14,Mostly Cloudy,1,,63,1,0,,,,0,,,,,25,,,99.14,,70,
01-02-2012 08:00,1.9,-3.3,68,39,24.1,99.14,Mostly Cloudy,0,,54,1,0,,,,0,,,,,24.1,,,99.14,,68,
01-02-2012 09:00,1.8,-3.7,67,44,24.1,99.14,Mostly Cloudy,0,,2,2,0,,,,0,,,,,24.1,,,99.14,,67,
01-02-2012 10:00,1.5,-4.1,66,43,24.1,99.18,Mostly Cloudy,0,,,0,0,,,,0,,,,,24.1,,,99.18,,66,
01-02-2012 11:00,2.2,-3.5,66,30,24.1,99.19,Mostly Cloudy,0,,,,0,,,,0,,,,,24.1,,,99.19,,66,
01-02-2012 12:00,1.7,-6.2,56,48,24.1,99.21,Mainly Clear,0,,,,0,,,,0,,,,,24.1,,,99.21,,56,
01-02-2012 13:00,1.1,-6.5,57,37,24.1,99.27,Mostly Cloudy,0,,,,0,,,,0,,,,,24.1,,,99.27,,57,
01-02-2012 14:00,1.1,-6.8,56,33,24.1,99.33,Mostly Cloudy,0,,,,0,,,,0,,,,,24.1,,,99.33,,56,
01-02-2012 15:00,0,-7,59,33,24.1,99.41,Mostly Cloudy,0,,,,0,,,,0,,,,,24.1,,,99.41,,59,
01-02-2012 16:00,-0.7,-8.7,55,24,24.1,99.5,Mostly Cloudy,0,,,,0,,,,0,,,,,24.1,,,99.5,,55,
01-02-2012 17:00,-2.1,-9.5,57,22,25,99.66,Snow Showers,0,,,,0,,,,0,,,,,25,,,99.66,,57,
01-02-2012 18:00,-4.1,-11.4,57,28,25,99.86,Mostly Cloudy,1,,,,0,,,,0,,,,,25,,,99.86,,57,
01-02-2012 19:00,-4.8,-12.1,57,24,25,100,Mostly Cloudy,0,,,,0,,,,0,,,,,25,,,100,,57,
01-02-2012 20:00,-5.6,-13.4,54,24,25,100.07,Snow Showers,0,,,,0,,,,0,,,,,25,,,100.07,,54,
01-02-2012 21:00,-5.8,-12.8,58,26,25,100.15,Snow Showers,1,,,,0,,,,0,,,,,25,,,100.15,,58,
01-02-2012 22:00,-7,-14.7,54,20,25,100.26,Cloudy,0,,,,0,,,,0,,,,,25,,,100.26,,54,
01-02-2012 23:00,-7.4,-14.1,59,17,19.3,100.27,Snow Showers,0,,,,0,,,,0,,,,,19.3,,,100.27,,59,
01-03-2012 00:00,-9,-16,57,28,25,100.35,Snow Showers,1,,,,0,,,,0,,,,,25,,,100.35,,57,
01-03-2012 01:00,-9.7,-17.2,54,20,25,100.43,Cloudy,0,,,,0,,,,0,,,,,25,,,100.43,,54,
01-03-2012 02:00,-10.5,-15.8,65,22,12.9,100.53,Snow Showers,0,,,,0,,,,0,,,,,12.9,,,100.53,,65,
01-03-2012 03:00,-11.3,-18.7,54,33,25,100.61,Snow Showers,1,,,,0,,,,0,,,,,25,,,100.61,,54,
01-03-2012 04:00,-12.6,-20.1,53,24,25,100.68,Cloudy,0,,,,0,,,,0,,,,,25,,,100.68,,53,
01-03-2012 05:00,-12.9,-19.1,60,22,25,100.76,Snow Showers,0,,,,0,,,,0,,,,,25,,,100.76,,60,
01-03-2012 06:00,-13.3,-19.3,61,19,25,100.85,Snow Showers,0,,,,0,,,,0,,,,,25,,,100.85,,61,
01-03-2012 07:00,-14,-19.5,63,19,25,100.95,Snow,0,,,,0,,,,0,,,,,25,,,100.95,,63,
01-03-2012 08:00,-14.8,-21.3,58,26,24.1,101.07,Mostly Cloudy,0,,,,0,,,,0,,,,,24.1,,,101.07,,58,
01-03-2012 09:00,-15,-21.9,56,19,24.1,101.2,Mostly Cloudy,0,,,,0,,,,0,,,,,24.1,,,101.2,,56,
01-03-2012 10:00,-15.3,-22.2,56,24,24.1,101.29,Cloudy,0,,,,0,,,,0,,,,,24.1,,,101.29,,56,
01-03-2012 11:00,-14.9,-22.2,54,22,24.1,101.33,Mostly Cloudy,0,,,,0,,,,0,,,,,24.1,,,101.33,,54,
01-03-2012 12:00,-14.9,-22.6,52,20,24.1,101.34,Mainly Clear,0,,,,0,,,,0,,,,,24.1,,,101.34,,52,
01-03-2012 13:00,-15.1,-22.4,54,22,24.1,101.34,Mainly Clear,0,,,,0,,,,0,,,,,24.1,,,101.34,,54,
01-03-2012 14:00,-14.9,-22.9,50,22,24.1,101.38,Mainly Clear,0,,,,0,,,,0,,,,,24.1,,,101.38,,50,
01-03-2012 15:00,-14.8,-22.2,53,19,24.1,101.44,Mainly Clear,0,,,,0,,,,0,,,,,24.1,,,101.44,,53,
01-03-2012 16:00,-15.3,-22.9,52,22,24.1,101.51,Mainly Clear,0,,,,0,,,,0,,,,,24.1,,,101.51,,52,
01-03-2012 17:00,-15.8,-23.2,53,22,24.1,101.58,Mainly Clear,0,,,,0,,,,0,,,,,24.1,,,101.58,,53,
01-03-2012 18:00,-16.3,-23.8,52,24,25,101.64,Mainly Clear,0,,,,0,,,,0,,,,,25,,,101.64,,52,
01-03-2012 19:00,-16.9,-24.8,50,24,25,101.74,Clear,0,,,,1,,,,0,,,,,25,,,101.74,,50,
01-03-2012 20:00,-17.3,-25.4,49,24,25,101.82,Mainly Clear,0,,,,0,,,,0,,,,,25,,,101.82,,49,
01-03-2012 21:00,-17,-24.6,52,15,25,101.86,Mostly Cloudy,0,,,,0,,,,0,,,,,25,,,101.86,,52,
01-03-2012 22:00,-17.1,-24.6,52,20,25,101.86,Mostly Cloudy,0,,,,0,,,,0,,,,,25,,,101.86,,52,
01-03-2012 23:00,-17.3,-24.2,55,17,25,101.87,Mostly Cloudy,0,,,,0,,,,0,,,,,25,,,101.87,,55,
01-04-2012 00:00,-17.5,-24.2,56,13,25,101.88,Mostly Cloudy,0,,,,0,,,,0,,,,,25,,,101.88,,56,
01-04-2012 01:00,-17.9,-24.1,58,11,25,101.86,Mainly Clear,0,,,,0,,,,0,,,,,25,,,101.86,,58,
01-04-2012 02:00,-18.1,-23.8,61,15,25,101.89,Mainly Clear,0,,,,0,,,,0,,,,,25,,,101.89,,61,
01-04-2012 03:00,-18.5,-24.6,59,13,25,101.88,Mainly Clear,0,,,,0,,,,0,,,,,25,,,101.88,,59,
01-04-2012 04:00,-18.5,-24.6,59,13,25,101.82,Mainly Clear,0,,,,0,,,,0,,,,,25,,,101.82,,59,
01-04-2012 05:00,-18.6,-24,62,9,25,101.77,Mainly Clear,0,,,,0,,,,0,,,,,25,,,101.77,,62,
01-04-2012 06:00,-18.5,-24.1,61,11,25,101.74,Cloudy,0,,,,0,,,,0,,,,,25,,,101.74,,61,
01-04-2012 07:00,-18.2,-24.1,60,11,25,101.75,Cloudy,0,,,,0,,,,0,,,,,25,,,101.75,,60,
01-04-2012 08:00,-17.8,-24.2,57,17,24.1,101.73,Mostly Cloudy,0,,,,0,,,,0,,,,,24.1,,,101.73,,57,
01-04-2012 09:00,-16.8,-22.5,61,9,24.1,101.68,Mostly Cloudy,0,,,,0,,,,0,,,,,24.1,,,101.68,,61,
01-04-2012 10:00,-15.2,-20.6,63,7,24.1,101.54,Mostly Cloudy,0,,,,0,,,,0,,,,,24.1,,,101.54,,63,
